02-10-2021 01:09:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:09:37 Se graban todos los datos correctamente
02-10-2021 01:10:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:10:07 Se graban todos los datos correctamente
02-10-2021 01:10:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:10:37 Se graban todos los datos correctamente
02-10-2021 01:11:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:11:07 Se graban todos los datos correctamente
02-10-2021 01:11:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:11:37 Se graban todos los datos correctamente
02-10-2021 01:12:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:12:07 Se graban todos los datos correctamente
02-10-2021 01:12:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:12:37 Se graban todos los datos correctamente
02-10-2021 01:13:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:13:07 Se graban todos los datos correctamente
02-10-2021 01:13:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:13:37 Se graban todos los datos correctamente
02-10-2021 01:14:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:14:07 Se graban todos los datos correctamente
02-10-2021 01:14:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:14:37 Se graban todos los datos correctamente
02-10-2021 01:15:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:15:07 Se graban todos los datos correctamente
02-10-2021 01:15:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:15:37 Se graban todos los datos correctamente
02-10-2021 01:16:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:16:07 Se graban todos los datos correctamente
02-10-2021 01:16:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:16:37 Se graban todos los datos correctamente
02-10-2021 01:17:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:17:07 Se graban todos los datos correctamente
02-10-2021 01:17:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:17:37 Se graban todos los datos correctamente
02-10-2021 01:18:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:18:07 Se graban todos los datos correctamente
02-10-2021 01:18:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:18:37 Se graban todos los datos correctamente
02-10-2021 01:19:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:19:07 Se graban todos los datos correctamente
02-10-2021 01:19:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:19:37 Se graban todos los datos correctamente
02-10-2021 01:20:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:20:07 Se graban todos los datos correctamente
02-10-2021 01:20:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:20:37 Se graban todos los datos correctamente
02-10-2021 01:21:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:21:07 Se graban todos los datos correctamente
02-10-2021 01:21:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:21:37 Se graban todos los datos correctamente
02-10-2021 01:22:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:22:07 Se graban todos los datos correctamente
02-10-2021 01:22:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:22:37 Se graban todos los datos correctamente
02-10-2021 01:23:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:23:07 Se graban todos los datos correctamente
02-10-2021 01:23:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:23:37 Se graban todos los datos correctamente
02-10-2021 01:24:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:24:07 Se graban todos los datos correctamente
02-10-2021 01:24:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:24:37 Se graban todos los datos correctamente
02-10-2021 01:25:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:25:07 Se graban todos los datos correctamente
02-10-2021 01:25:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:25:37 Se graban todos los datos correctamente
02-10-2021 01:26:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:26:07 Se graban todos los datos correctamente
02-10-2021 01:26:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:26:37 Se graban todos los datos correctamente
