fecha;pm25;pm10;co2;humedad;temperatura;t_terabee;presencia; 
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:04:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:05:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:05:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:06:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:06:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:07:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:07:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:08:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:08:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:09:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:09:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:10:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:10:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:11:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:11:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:12:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:12:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:13:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:13:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:14:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:14:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:15:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:15:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:16:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:16:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:17:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:17:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:18:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:18:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:19:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:19:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:20:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:20:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:21:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:21:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:22:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:22:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:23:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:23:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:24:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:24:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:25:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:25:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:26:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:26:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:27:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:27:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:28:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:28:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:29:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:29:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:30:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:30:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:31:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:31:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:32:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:32:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:33:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:33:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:34:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:34:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:35:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:35:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:36:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:36:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:37:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:37:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:38:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:38:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:39:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:39:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:40:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:40:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:41:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:41:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:42:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:42:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:43:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:43:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:44:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:44:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:45:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:45:14;-1.0;
